,gpr,score
HMPKr,A0A7S7FMF6 and A0A7S7FMF6,1.0104387436453346
T_diff_Octadecanoic_acid,,0
EX_acgal(e),,0
EX_acnam2a6agal(e),,0
EX_agal1b3agal(e),,0
EX_agam1b3agal(e),,0
EX_agam1b6agal(e),,0
EX_core3(e),,0
EX_core5(e),,0
EX_core6(e),,0
EX_core8(e),,0
EX_fuc_L(e),,0
EX_gal1a3acgal(e),,0
EX_gal1b3acgal(e),,0
EX_glctnb(e),,0
EX_sTn_antigen(e),,0
EX_T_antigen(e),,0
EX_Tn_antigen(e),,0
ACP_collapse,,0
ADNt,,0
DM_4hba_c,,0
DM_5drib_c,,0
DM_ACP_c,,0
DM_C00173_c,,0
DM_C00641_c,,0
DM_C04425_c,,0
DM_e_Biomass_c,,0
DM_e_Lipid_c,,0
DM_e_Protein_c,,0
DM_meoh_c,,0
DM_o2_e,,0
EX_4abut_e,,0
EX_a_gal_D_e,,0
EX_acmum_e,,0
EX_actn_R_e,,0
EX_ade_e,,0
EX_adn_e,,0
EX_ala_D_e,,0
EX_ala_L_e,,0
EX_alaasp_e,,0
EX_alagln_e,,0
EX_alaglu_e,,0
EX_alagly_e,,0
EX_alahis_e,,0
EX_alaleu_e,,0
EX_alathr_e,,0
EX_arg_L_e,,0
EX_asn_L_e,,0
EX_asp_L_e,,0
EX_C00072_e,,0
EX_C20251_e,,0
EX_cbi_e,,0
EX_cbl1_e,,0
EX_cgly_e,,0
EX_cobalt2_e,,0
EX_csn_e,,0
EX_cu2_e,,0
EX_cys_L_e,,0
EX_cytd_e,,0
EX_dad_2_e,,0
EX_dcyt_e,,0
EX_dgsn_e,,0
EX_dha_e,,0
EX_din_e,,0
EX_drib_e,,0
EX_duri_e,,0
EX_fru_e,,0
EX_fum_e,,0
EX_gam_e,,0
EX_gcald_e,,0
EX_glc_D_e,,0
EX_glcn_D_e,,0
EX_gln_L_e,,0
EX_glu_D_e,,0
EX_glu_L_e,,0
EX_glyasn_e,,0
EX_glyasp_e,,0
EX_glyc3p_e,,0
EX_glycys_e,,0
EX_glygln_e,,0
EX_glyglu_e,,0
EX_glyleu_e,,0
EX_glymet_e,,0
EX_glyphe_e,,0
EX_glypro_e,,0
EX_glytyr_e,,0
EX_gthrd_e,,0
EX_gua_e,,0
EX_hco3_e,,0
EX_his_L_e,,0
EX_ile_L_e,,0
EX_ind3ac_e,,0
EX_ind3eth_e,,0
EX_k_e,,0
EX_lald_L_e,,0
EX_leu_L_e,,0
EX_lys_L_e,,0
EX_mal_L_e,,0
EX_malthx_e,,0
EX_malttr_e,,0
EX_met_L_e,,0
EX_metala_e,,0
EX_metsox_S_L_e,,0
EX_mg2_e,,0
EX_mn2_e,,0
EX_mops_e,,0
EX_mththf_e,,0
EX_na1_e,,0
EX_ncam_e,,0
EX_ocdca_e,,0
EX_orn_L_e,,0
EX_phe_L_e,,0
EX_phlac_e,,0
EX_pnto_R_e,,0
EX_pro_L_e,,0
EX_rib_D_e,,0
EX_rmn_e,,0
EX_sbt_D_e,,0
EX_ser_L_e,,0
EX_tag_D_e,,0
EX_thr_L_e,,0
EX_thym_e,,0
EX_thymd_e,,0
EX_trp_L_e,,0
EX_tyr_L_e,,0
EX_val_L_e,,0
EX_xyl_D_e,,0
EX_xylu_L_e,,0
EX_zn2_e,,0
HCO3t,,0
CO2t,,0
EX_acald_e,,0
EX_acgam_e,,0
EX_arbt_e,,0
EX_btn_e,,0
EX_cellb_e,,0
EX_cit_e,,0
EX_co2_e,,0
EX_etoh_e,,0
EX_fe2_e,,0
EX_fol_e,,0
EX_for_e,,0
EX_gal_bD_e,,0
EX_galt_e,,0
EX_gly_e,,0
EX_glyc_e,,0
EX_h_e,,0
EX_h2o_e,,0
EX_inost_e,,0
EX_lcts_e,,0
EX_malt_e,,0
EX_man_e,,0
EX_mnl_e,,0
EX_nac_e,,0
EX_NH4_e,,0
EX_pi_e,,0
EX_ptrc_e,,0
EX_pydx_e,,0
EX_ribflv_e,,0
EX_salcn_e,,0
EX_succ_e,,0
EX_sucr_e,,0
EX_thm_e,,0
EX_tre_e,,0
EX_trypta_e,,0
EX_ura_e,,0
EX_xan_e,,0
H2Ot,,0
T_diff_Acetaldehyde,,0
T_diff_Ethanol,,0
curated_biomass,,0
e_Cofactor,,0
e_DNA,,0
e_Exopolysaccharide,A0A7S7FPR6 and A0A7S7FPV5 and A0A7S7FR66,1.4116901011670464
e_Lipid,,0
e_Lipoteichoic_acid,,0
e_Peptidoglycan,A0A7S7JFM3 or C7T7Y3,1.0852337718371672
e_Protein,,0
e_RNA,,0
EX_trnaala_c,,0
EX_trnaarg_c,,0
EX_trnaasn_c,,0
EX_trnaasp_c,,0
EX_trnacys_c,,0
EX_trnagln_c,,0
EX_trnaglu_c,,0
EX_trnagly_c,,0
EX_trnahis_c,,0
EX_trnaile_c,,0
EX_trnaleu_c,,0
EX_trnalys_c,,0
EX_trnamet_c,,0
EX_trnaphe_c,,0
EX_trnapro_c,,0
EX_trnaser_c,,0
EX_trnathr_c,,0
EX_trnatrp_c,,0
EX_trnatyr_c,,0
EX_trnaval_c,,0
Glycolipid,,0
23PDE2,A0A809NA25,1.6869344916337725
23PDE4,A0A809NA25,1.6869344916337725
23PDE7,A0A809NA25,1.6869344916337725
23PDE9,A0A809NA25,1.6869344916337725
3HAD100,A0A809NCX4,1.7141951168401097
3HAD10M11,A0A809NCX4,1.7141951168401097
3HAD10M12,A0A809NCX4,1.7141951168401097
3HAD11M12,A0A809NCX4,1.7141951168401097
3HAD12M13,A0A809NCX4,1.7141951168401097
3HAD12M14,A0A809NCX4,1.7141951168401097
3HAD13M14,A0A809NCX4,1.7141951168401097
3HAD140,A0A809NCX4,1.7141951168401097
3HAD14M15,A0A809NCX4,1.7141951168401097
3HAD14M16,A0A809NCX4,1.7141951168401097
3HAD15M16,A0A809NCX4,1.7141951168401097
3HAD160,A0A809NCX4,1.7141951168401097
3HAD180,A0A809NCX4,1.7141951168401097
3HAD40,A0A809NCX4,1.7141951168401097
3HAD4M5,A0A809NCX4,1.7141951168401097
3HAD4M6,A0A809NCX4,1.7141951168401097
3HAD5M6,A0A809NCX4,1.7141951168401097
3HAD60,A0A809NCX4,1.7141951168401097
3HAD6M7,A0A809NCX4,1.7141951168401097
3HAD6M8,A0A809NCX4,1.7141951168401097
3HAD7M8,A0A809NCX4,1.7141951168401097
3HAD80,A0A809NCX4,1.7141951168401097
3HAD8M10,A0A809NCX4,1.7141951168401097
3HAD8M9,A0A809NCX4,1.7141951168401097
3HAD9M10,A0A809NCX4,1.7141951168401097
3OAR100,A0A7S7FQD1,1.6752857155008796
3OAR10M11,A0A7S7FQD1,1.6752857155008796
3OAR10M12,A0A7S7FQD1,1.6752857155008796
3OAR11M12,A0A7S7FQD1,1.6752857155008796
3OAR12M13,A0A7S7FQD1,1.6752857155008796
3OAR12M14,A0A7S7FQD1,1.6752857155008796
3OAR13M14,A0A7S7FQD1,1.6752857155008796
3OAR140,A0A7S7FQD1 or A0A809MZX8 or A0A7S7FN37,1.6752857155008796
3OAR14M15,A0A7S7FQD1,1.6752857155008796
3OAR14M16,A0A7S7FQD1,1.6752857155008796
3OAR15M16,A0A7S7FQD1,1.6752857155008796
3OAR160,A0A7S7FQD1,1.6752857155008796
3OAR180,A0A7S7FQD1,1.6752857155008796
3OAR40,A0A7S7FQD1,1.6752857155008796
3OAR4M5,A0A7S7FQD1,1.6752857155008796
3OAR4M6,A0A7S7FQD1,1.6752857155008796
3OAR5M6,A0A7S7FQD1,1.6752857155008796
3OAR60,A0A7S7FQD1,1.6752857155008796
3OAR6M7,A0A7S7FQD1,1.6752857155008796
3OAR6M8,A0A7S7FQD1,1.6752857155008796
3OAR7M8,A0A7S7FQD1,1.6752857155008796
3OAR80,A0A7S7FQD1,1.6752857155008796
3OAR8M10,A0A7S7FQD1,1.6752857155008796
3OAR8M9,A0A7S7FQD1,1.6752857155008796
3OAR9M10,A0A7S7FQD1,1.6752857155008796
5AIZCDC,,0
5DOAN,A0A7S7JH29,1.505149978319906
ACACT1r,,0
ACALD,,0
ACGALK3,,0
ACLS_b,,0
ACODAr,,0
AGDC2,A0A7S7JGC7,1.505149978319906
AIPDCOATA,A0A809NFD8,1.7629680909379797
ALAASP1c,A0A809MY98,1.6590550866083467
ALAASPabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALAGLN1c,A0A809MY98,1.6590550866083467
ALAGLNabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALAGLU1c,A0A809MY98,1.6590550866083467
ALAGLUabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALAGLY1c,A0A809MY98,1.6590550866083467
ALAGLYabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALAHIS1c,A0A809MY98,1.6590550866083467
ALAHISabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALALEU1c,A0A809MY98,1.6590550866083467
ALALEUabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALATHR1c,A0A809MY98,1.6590550866083467
ALATHRabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALCD19,,0
